state,pollster_rating_name,state_effect
North Carolina,Redfield & Wilton Strategies,22.6
North Carolina,Spry Strategies,33.8
North Carolina,SurveyUSA,46.3
North Carolina,TIPP Insights,47.4
North Carolina,The New York Times/Siena College,27.1
North Carolina,Trafalgar Group,40.4
North Carolina,Victory Insights,46.7
North Carolina,YouGov,15.7
North Dakota,Emerson College,35.5
North Dakota,John Zogby Strategies,43.6
North Dakota,Lake Research Partners,45
North Dakota,Public Opinion Strategies,45
North Dakota,WPA Intelligence,30.7
Ohio,ABC News/The Washington Post,47.8
Ohio,Big Data Poll,23.9
Ohio,Change Research,29.9
Ohio,Data for Progress,47
Ohio,East Carolina University Center for Survey Research,18.3
Ohio,Echelon Insights,44
Ohio,Emerson College,36.2
Ohio,Fabrizio Lee & Associates/Impact Research,27.4
Ohio,John Zogby Strategies,43.9
Ohio,Marist College,29.2
Ohio,Morning Consult,47.9
Ohio,Ohio Northern University Institute for Civics and Public Policy,38.2
Ohio,RMG Research,48.5
Ohio,Remington Research Group,19.4
Ohio,Suffolk University,27
Ohio,SurveyUSA,39.5
Ohio,Targoz Market Research,47.5
Ohio,The New York Times/Siena College,31.6
Oklahoma,Cygnal,25.8
Oklahoma,Echelon Insights,43.5
Oklahoma,Emerson College,42.7
Oklahoma,John Zogby Strategies,43.9
Oklahoma,SoonerPoll.com,47.4
Oregon,Emerson College,44.2
Oregon,Hoffman Research Group,31
Oregon,John Zogby Strategies,42.3
Pennsylvania,ABC News/The Washington Post,32
Pennsylvania,AtlasIntel,33
Pennsylvania,Beacon Research/Shaw & Co. Research,31.6
Pennsylvania,Big Data Poll,28.5
Pennsylvania,Blueprint Polling,40
Pennsylvania,CNN,28.6
Pennsylvania,Civiqs,31.5
Pennsylvania,Cygnal,26.9
Pennsylvania,Echelon Insights,33.1
Pennsylvania,Emerson College,32.6
Pennsylvania,Fabrizio Lee & Associates/Impact Research,31.9
Pennsylvania,"Fabrizio, Lee & Associates",39
Pennsylvania,"Fabrizio, Lee & Associates/McLaughlin & Associates",48.5
Pennsylvania,Franklin & Marshall College Center for Opinion Research,29.1
Pennsylvania,GQR,32.7
Pennsylvania,Global Strategy Group/GBAO (Navigator Research),24
Pennsylvania,InsiderAdvantage,46.8
Pennsylvania,J.L. Partners,24
Pennsylvania,John Zogby Strategies,42.5
Pennsylvania,KAConsulting,22.8
Pennsylvania,Kaplan Strategies,43.5
Pennsylvania,Marist College,29.2
Pennsylvania,MassINC Polling Group,32.7
Pennsylvania,Morning Consult,30.1
Pennsylvania,Muhlenberg College Institute of Public Opinion,39.2
Pennsylvania,North Star Opinion Research,30
Pennsylvania,OnMessage Inc.,46.5
Pennsylvania,Patriot Polling,49
Pennsylvania,Public Opinion Strategies,45.3
Pennsylvania,Public Policy Polling,37.7
Pennsylvania,Quinnipiac University,32
Pennsylvania,RMG Research,49
Pennsylvania,Redfield & Wilton Strategies,23
Pennsylvania,Remington Research Group,24.1
Pennsylvania,Research Co.,49.5
Pennsylvania,Spry Strategies,32
Pennsylvania,Suffolk University,23.7
Pennsylvania,Susquehanna Polling & Research Inc.,40.2
Pennsylvania,TIPP Insights,32.1
Pennsylvania,Targoz Market Research,48.5
Pennsylvania,The New York Times/Siena College,28.7
Pennsylvania,Trafalgar Group,39.8
Pennsylvania,University of Massachusetts Lowell Center for Public Opinion,23.5
Pennsylvania,Wick,32.5
Pennsylvania,YouGov,33.2
Pennsylvania,co/efficient,47
Rhode Island,Change Research,35
Rhode Island,Echelon Insights,42.8
Rhode Island,Fleming & Associates,40.5
Rhode Island,John Zogby Strategies,43.2
Rhode Island,MassINC Polling Group,27.9
Rhode Island,University of New Hampshire Survey Center,26.4
South Carolina,Blueprint Polling,40
South Carolina,Echelon Insights,43.5
South Carolina,Emerson College,43.7
South Carolina,John Zogby Strategies,42.9
South Carolina,Winthrop University Center for Public Opinion & Policy Research,42.4
South Dakota,Emerson College,40.9
South Dakota,John Zogby Strategies,43.7
South Dakota,Mason-Dixon Polling & Strategy,30.9
Tennessee,Emerson College,38.6
Tennessee,John Zogby Strategies,43.4
Tennessee,SSRS,29.2
Tennessee,Siena College,34.5
Tennessee,Targoz Market Research,32.5
Texas,Blueprint Polling,41.1
Texas,CWS Research,33.1
Texas,Cygnal,26.5
Texas,Echelon Insights,44
Texas,Emerson College,36.8
Texas,John Zogby Strategies,43.1
Texas,Lake Research Partners,24.5
Texas,Marist College,43.9
Texas,Morning Consult,47.8
Texas,Public Policy Polling,29.1
Texas,RMG Research,49.5
Texas,Redfield & Wilton Strategies,16.3
Texas,Remington Research Group,19
Texas,The New York Times/Siena College,31.4
Texas,University of Houston Hobby School of Public Affairs,26.5
Texas,University of Texas at Tyler Center for Opinion Research,26.5
Texas,YouGov,29.3
Utah,Dan Jones & Associates,38
Utah,Emerson College,40.3
Utah,Harris Insights & Analytics,35
Utah,John Zogby Strategies,43.4
Utah,Noble Predictive Insights,23.2
Utah,Public Policy Polling,46.5
Vermont,John Zogby Strategies,42.4
Vermont,University of New Hampshire Survey Center,28
Virginia,Beacon Research/Shaw & Co. Research,27.4
Virginia,Change Research,29
Virginia,Christopher Newport University Wason Center for Civic Leadership,46.5
Virginia,Emerson College,31.9
Virginia,Fabrizio Lee & Associates/Impact Research,42.5
Virginia,John Zogby Strategies,43
Virginia,Mason-Dixon Polling & Strategy,36.8
Virginia,McLaughlin & Associates,22.4
Virginia,Morning Consult,47.4
Virginia,Public Opinion Strategies,44.2
Virginia,Repass,29.1
Virginia,Roanoke College Institute for Policy and Opinion Research,38.1
Virginia,The New York Times/Siena College,22.5
Virginia,The Washington Post/George Mason University Schar School of Policy and Government,23.6
Virginia,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,26.5
Virginia,co/efficient,29.7
Washington,DHM Research,40.3
Washington,Echelon Insights,42.5
Washington,Elway Research,32.7
Washington,Emerson College,44
Washington,John Zogby Strategies,42.4
Washington,McLaughlin & Associates,47.1
Washington,Public Policy Polling,42.4
Washington,SurveyUSA,44.2
West Virginia,Emerson College,40.9
West Virginia,John Zogby Strategies,42.8
West Virginia,Kaplan Strategies,28.3
West Virginia,Repass,47.5
Wisconsin,AtlasIntel,24.7
Wisconsin,BK Strategies,46.5
Wisconsin,Beacon Research/Shaw & Co. Research,28.4
Wisconsin,Big Data Poll,25.1
Wisconsin,CNN,19.4
Wisconsin,Civiqs,32.5
Wisconsin,Echelon Insights,28.1
Wisconsin,Emerson College,33.6
Wisconsin,Fabrizio Lee & Associates/Impact Research,23.9
Wisconsin,"Fabrizio, Lee & Associates",40.1
Wisconsin,"Fabrizio, Lee & Associates/McLaughlin & Associates",48.5
Wisconsin,Global Strategy Group/GBAO (Navigator Research),24.2
Wisconsin,InsiderAdvantage,48.1
Wisconsin,J.L. Partners,21.4
Wisconsin,John Zogby Strategies,43.1
Wisconsin,KAConsulting,23.1
Wisconsin,Kaplan Strategies,41.5
Wisconsin,Marist College,49
Wisconsin,Marquette University Law School,27.2
Wisconsin,MassINC Polling Group,24.6
Wisconsin,Morning Consult,29.8
Wisconsin,North Star Opinion Research,28.6
Wisconsin,OnMessage Inc.,46.5
Wisconsin,Patriot Polling,48.6
Wisconsin,Public Opinion Strategies,46.2
Wisconsin,Public Policy Polling,46.8
Wisconsin,Quinnipiac University,23
Wisconsin,RMG Research,48.5
Wisconsin,Redfield & Wilton Strategies,21.1
Wisconsin,Remington Research Group,21.6
Wisconsin,Research Co.,49
Wisconsin,Spry Strategies,31.1
Wisconsin,TIPP Insights,27.3
Wisconsin,The New York Times/Siena College,31.1
Wisconsin,The Tyson Group,30.7
Wisconsin,Trafalgar Group,27.9
Wisconsin,YouGov,32
Wisconsin,co/efficient,47
Wyoming,Emerson College,41.2
Wyoming,John Zogby Strategies,43.8
