state,pollster_rating_name,pollscore,candidate_name,pct,sample_size,start_date,end_date,days_to_election,recency_weight,total_weight,pollster_reliability_adjustment
Florida,Redfield & Wilton Strategies,0.4,Jill Stein,1,1009,10/12/24,10/14/24,22,0.045454545454545456,18.345454545454547,0.1
Georgia,Redfield & Wilton Strategies,0.4,Kamala Harris,47,637,10/12/24,10/14/24,22,0.045454545454545456,11.581818181818182,0.1
Georgia,Redfield & Wilton Strategies,0.4,Donald Trump,47,637,10/12/24,10/14/24,22,0.045454545454545456,11.581818181818182,0.1
Georgia,Redfield & Wilton Strategies,0.4,Chase Oliver,1,637,10/12/24,10/14/24,22,0.045454545454545456,11.581818181818182,0.1
Georgia,Redfield & Wilton Strategies,0.4,Jill Stein,2,637,10/12/24,10/14/24,22,0.045454545454545456,11.581818181818182,0.1
Michigan,Redfield & Wilton Strategies,0.4,Kamala Harris,47,682,10/12/24,10/14/24,22,0.045454545454545456,12.4,0.1
Michigan,Redfield & Wilton Strategies,0.4,Donald Trump,47,682,10/12/24,10/14/24,22,0.045454545454545456,12.4,0.1
Michigan,Redfield & Wilton Strategies,0.4,Chase Oliver,1,682,10/12/24,10/14/24,22,0.045454545454545456,12.4,0.1
Michigan,Redfield & Wilton Strategies,0.4,Jill Stein,0,682,10/12/24,10/14/24,22,0.045454545454545456,12.4,0.1
Minnesota,Redfield & Wilton Strategies,0.4,Kamala Harris,51,544,10/12/24,10/14/24,22,0.045454545454545456,9.890909090909092,0.1
Minnesota,Redfield & Wilton Strategies,0.4,Donald Trump,43,544,10/12/24,10/14/24,22,0.045454545454545456,9.890909090909092,0.1
Minnesota,Redfield & Wilton Strategies,0.4,Chase Oliver,0,544,10/12/24,10/14/24,22,0.045454545454545456,9.890909090909092,0.1
Minnesota,Redfield & Wilton Strategies,0.4,Jill Stein,1,544,10/12/24,10/14/24,22,0.045454545454545456,9.890909090909092,0.1
Nevada,Redfield & Wilton Strategies,0.4,Kamala Harris,47,838,10/12/24,10/14/24,22,0.045454545454545456,15.236363636363638,0.1
Nevada,Redfield & Wilton Strategies,0.4,Donald Trump,47,838,10/12/24,10/14/24,22,0.045454545454545456,15.236363636363638,0.1
Nevada,Redfield & Wilton Strategies,0.4,Chase Oliver,1,838,10/12/24,10/14/24,22,0.045454545454545456,15.236363636363638,0.1
Nevada,Redfield & Wilton Strategies,0.4,Jill Stein,0,838,10/12/24,10/14/24,22,0.045454545454545456,15.236363636363638,0.1
New Mexico,Redfield & Wilton Strategies,0.4,Kamala Harris,49,382,10/12/24,10/14/24,22,0.045454545454545456,6.945454545454546,0.1
New Mexico,Redfield & Wilton Strategies,0.4,Donald Trump,45,382,10/12/24,10/14/24,22,0.045454545454545456,6.945454545454546,0.1
New Mexico,Redfield & Wilton Strategies,0.4,Chase Oliver,1,382,10/12/24,10/14/24,22,0.045454545454545456,6.945454545454546,0.1
New Mexico,Redfield & Wilton Strategies,0.4,Jill Stein,2,382,10/12/24,10/14/24,22,0.045454545454545456,6.945454545454546,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Kamala Harris,48,1649,10/12/24,10/14/24,22,0.045454545454545456,29.981818181818184,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Donald Trump,48,1649,10/12/24,10/14/24,22,0.045454545454545456,29.981818181818184,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Chase Oliver,1,1649,10/12/24,10/14/24,22,0.045454545454545456,29.981818181818184,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Jill Stein,0,1649,10/12/24,10/14/24,22,0.045454545454545456,29.981818181818184,0.1
Wisconsin,Redfield & Wilton Strategies,0.4,Kamala Harris,48,641,10/12/24,10/14/24,22,0.045454545454545456,11.654545454545456,0.1
Wisconsin,Redfield & Wilton Strategies,0.4,Donald Trump,47,641,10/12/24,10/14/24,22,0.045454545454545456,11.654545454545456,0.1
Wisconsin,Redfield & Wilton Strategies,0.4,Chase Oliver,1,641,10/12/24,10/14/24,22,0.045454545454545456,11.654545454545456,0.1
Wisconsin,Redfield & Wilton Strategies,0.4,Jill Stein,1,641,10/12/24,10/14/24,22,0.045454545454545456,11.654545454545456,0.1
North Carolina,Cygnal,-1.1,Kamala Harris,46.6,600,10/12/24,10/14/24,22,0.045454545454545456,-30,-0.2
North Carolina,Cygnal,-1.1,Donald Trump,47.2,600,10/12/24,10/14/24,22,0.045454545454545456,-30,-0.2
North Carolina,Cygnal,-1.1,Chase Oliver,0.9,600,10/12/24,10/14/24,22,0.045454545454545456,-30,-0.2
North Carolina,Cygnal,-1.1,Randall A. Terry,0.1,600,10/12/24,10/14/24,22,0.045454545454545456,-30,-0.2
North Carolina,Cygnal,-1.1,Jill Stein,0.4,600,10/12/24,10/14/24,22,0.045454545454545456,-30,-0.2
North Carolina,Cygnal,-1.1,Cornel West,0.6,600,10/12/24,10/14/24,22,0.045454545454545456,-30,-0.2
Georgia,Quinnipiac University,-0.5,Kamala Harris,45,1328,10/10/24,10/14/24,22,0.045454545454545456,-30.181818181818183,-0.1
Georgia,Quinnipiac University,-0.5,Donald Trump,52,1328,10/10/24,10/14/24,22,0.045454545454545456,-30.181818181818183,-0.1
Georgia,Quinnipiac University,-0.5,Jill Stein,1,1328,10/10/24,10/14/24,22,0.045454545454545456,-30.181818181818183,-0.1
Georgia,Quinnipiac University,-0.5,Chase Oliver,1,1328,10/10/24,10/14/24,22,0.045454545454545456,-30.181818181818183,-0.1
Georgia,Quinnipiac University,-0.5,Kamala Harris,46,1328,10/10/24,10/14/24,22,0.045454545454545456,-30.181818181818183,-0.1
Georgia,Quinnipiac University,-0.5,Donald Trump,52,1328,10/10/24,10/14/24,22,0.045454545454545456,-30.181818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Kamala Harris,49,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Donald Trump,47,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Jill Stein,0,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Chase Oliver,1,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Cornel West,0,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Randall A. Terry,0,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Kamala Harris,50,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
North Carolina,Quinnipiac University,-0.5,Donald Trump,47,1031,10/10/24,10/14/24,22,0.045454545454545456,-23.431818181818183,-0.1
Washington,SurveyUSA,-1.3,Kamala Harris,57,703,10/9/24,10/14/24,22,0.045454545454545456,-41.54090909090909,-0.3
Washington,SurveyUSA,-1.3,Donald Trump,35,703,10/9/24,10/14/24,22,0.045454545454545456,-41.54090909090909,-0.3
Arizona,Trafalgar Group,0.6,Kamala Harris,46,1090,10/10/24,10/13/24,23,0.043478260869565216,28.434782608695652,0.1
Arizona,Trafalgar Group,0.6,Donald Trump,47.5,1090,10/10/24,10/13/24,23,0.043478260869565216,28.434782608695652,0.1
North Carolina,Trafalgar Group,0.6,Kamala Harris,44.6,1085,10/10/24,10/13/24,23,0.043478260869565216,28.304347826086957,0.1
North Carolina,Trafalgar Group,0.6,Donald Trump,46.5,1085,10/10/24,10/13/24,23,0.043478260869565216,28.304347826086957,0.1
Nevada,Trafalgar Group,0.6,Kamala Harris,45.6,1088,10/10/24,10/13/24,23,0.043478260869565216,28.38260869565217,0.1
Nevada,Trafalgar Group,0.6,Donald Trump,44.8,1088,10/10/24,10/13/24,23,0.043478260869565216,28.38260869565217,0.1
Washington,Elway Research,-0.2,Kamala Harris,57,401,10/8/24,10/12/24,24,0.041666666666666664,-3.341666666666667,-0
Washington,Elway Research,-0.2,Donald Trump,32,401,10/8/24,10/12/24,24,0.041666666666666664,-3.341666666666667,-0
Michigan,Marketing Resource Group (MRG),0.1,Kamala Harris,44.9,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Donald Trump,44,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Robert F. Kennedy,2.6,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Jill Stein,2.1,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Cornel West,0.5,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Joseph Kishore,0,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Randall A. Terry,0,600,10/7/24,10/11/24,25,0.04,2.4,0
Michigan,Marketing Resource Group (MRG),0.1,Chase Oliver,1.2,600,10/7/24,10/11/24,25,0.04,2.4,0
Pennsylvania,The New York Times/Siena College,-1.5,Kamala Harris,50,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Donald Trump,47,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Kamala Harris,49,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Donald Trump,45,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Jill Stein,2,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Chase Oliver,1,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Kamala Harris,50,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Donald Trump,47,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Kamala Harris,49,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Donald Trump,45,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Jill Stein,1,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Pennsylvania,The New York Times/Siena College,-1.5,Chase Oliver,0,857,10/7/24,10/10/24,26,0.038461538461538464,-49.44230769230769,-0.3
Arizona,The New York Times/Siena College,-1.5,Kamala Harris,46,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Donald Trump,51,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Kamala Harris,45,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Donald Trump,50,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Jill Stein,1,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Chase Oliver,0,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Kamala Harris,45,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Donald Trump,51,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Kamala Harris,44,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Donald Trump,49,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Jill Stein,2,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Arizona,The New York Times/Siena College,-1.5,Chase Oliver,1,808,10/7/24,10/10/24,26,0.038461538461538464,-46.61538461538462,-0.3
Georgia,RMG Research,-0.4,Kamala Harris,47,731,10/7/24,10/10/24,26,0.038461538461538464,-11.246153846153849,-0.1
Georgia,RMG Research,-0.4,Donald Trump,50,731,10/7/24,10/10/24,26,0.038461538461538464,-11.246153846153849,-0.1
Massachusetts,University of Massachusetts Department of Political Science/YouGov,-0.4,Kamala Harris,56,700,10/3/24,10/10/24,26,0.038461538461538464,-10.76923076923077,-0.1
Massachusetts,University of Massachusetts Department of Political Science/YouGov,-0.4,Donald Trump,30,700,10/3/24,10/10/24,26,0.038461538461538464,-10.76923076923077,-0.1
Massachusetts,University of Massachusetts Department of Political Science/YouGov,-0.4,Jill Stein,2,700,10/3/24,10/10/24,26,0.038461538461538464,-10.76923076923077,-0.1
Massachusetts,University of Massachusetts Department of Political Science/YouGov,-0.4,Chase Oliver,1,700,10/3/24,10/10/24,26,0.038461538461538464,-10.76923076923077,-0.1
Massachusetts,University of Massachusetts Department of Political Science/YouGov,-0.4,Claudia De La Cruz,1,700,10/3/24,10/10/24,26,0.038461538461538464,-10.76923076923077,-0.1
Massachusetts,University of Massachusetts Department of Political Science/YouGov,-0.4,Shiva Ayyadurai,1,700,10/3/24,10/10/24,26,0.038461538461538464,-10.76923076923077,-0.1
New Hampshire,University of Massachusetts Lowell Center for Public Opinion,-1,Kamala Harris,50,600,10/2/24,10/10/24,26,0.038461538461538464,-23.076923076923077,-0.2
New Hampshire,University of Massachusetts Lowell Center for Public Opinion,-1,Donald Trump,41,600,10/2/24,10/10/24,26,0.038461538461538464,-23.076923076923077,-0.2
New Hampshire,University of Massachusetts Lowell Center for Public Opinion,-1,Jill Stein,1,600,10/2/24,10/10/24,26,0.038461538461538464,-23.076923076923077,-0.2
New Hampshire,University of Massachusetts Lowell Center for Public Opinion,-1,Chase Oliver,1,600,10/2/24,10/10/24,26,0.038461538461538464,-23.076923076923077,-0.2
Texas,University of Houston Hobby School of Public Affairs,-0.3,Kamala Harris,46,1329,9/26/24,10/10/24,26,0.038461538461538464,-15.334615384615384,-0.1
Texas,University of Houston Hobby School of Public Affairs,-0.3,Donald Trump,51,1329,9/26/24,10/10/24,26,0.038461538461538464,-15.334615384615384,-0.1
Texas,University of Houston Hobby School of Public Affairs,-0.3,Jill Stein,1,1329,9/26/24,10/10/24,26,0.038461538461538464,-15.334615384615384,-0.1
Texas,University of Houston Hobby School of Public Affairs,-0.3,Chase Oliver,0,1329,9/26/24,10/10/24,26,0.038461538461538464,-15.334615384615384,-0.1
Michigan,InsiderAdvantage,-0.3,Kamala Harris,46,800,10/8/24,10/9/24,27,0.037037037037037035,-8.88888888888889,-0.1
Michigan,InsiderAdvantage,-0.3,Donald Trump,48,800,10/8/24,10/9/24,27,0.037037037037037035,-8.88888888888889,-0.1
Wisconsin,InsiderAdvantage,-0.3,Kamala Harris,48,800,10/8/24,10/9/24,27,0.037037037037037035,-8.88888888888889,-0.1
Wisconsin,InsiderAdvantage,-0.3,Donald Trump,48,800,10/8/24,10/9/24,27,0.037037037037037035,-8.88888888888889,-0.1
Georgia,Redfield & Wilton Strategies,0.4,Kamala Harris,47,608,10/8/24,10/9/24,27,0.037037037037037035,9.007407407407408,0.1
Georgia,Redfield & Wilton Strategies,0.4,Donald Trump,48,608,10/8/24,10/9/24,27,0.037037037037037035,9.007407407407408,0.1
Georgia,Redfield & Wilton Strategies,0.4,Chase Oliver,1,608,10/8/24,10/9/24,27,0.037037037037037035,9.007407407407408,0.1
Georgia,Redfield & Wilton Strategies,0.4,Jill Stein,1,608,10/8/24,10/9/24,27,0.037037037037037035,9.007407407407408,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Kamala Harris,46,707,10/8/24,10/9/24,27,0.037037037037037035,10.474074074074075,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Donald Trump,48,707,10/8/24,10/9/24,27,0.037037037037037035,10.474074074074075,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Chase Oliver,1,707,10/8/24,10/9/24,27,0.037037037037037035,10.474074074074075,0.1
Pennsylvania,Redfield & Wilton Strategies,0.4,Jill Stein,0,707,10/8/24,10/9/24,27,0.037037037037037035,10.474074074074075,0.1
Alaska,Alaska Survey Research,-0.1,Kamala Harris,43,1254,10/8/24,10/9/24,27,0.037037037037037035,-4.644444444444445,-0
Alaska,Alaska Survey Research,-0.1,Donald Trump,50,1254,10/8/24,10/9/24,27,0.037037037037037035,-4.644444444444445,-0
Alaska,Alaska Survey Research,-0.1,Robert F. Kennedy,7,1254,10/8/24,10/9/24,27,0.037037037037037035,-4.644444444444445,-0
Alaska,Alaska Survey Research,-0.1,Kamala Harris,46,1254,10/8/24,10/9/24,27,0.037037037037037035,-4.644444444444445,-0
Alaska,Alaska Survey Research,-0.1,Donald Trump,54,1254,10/8/24,10/9/24,27,0.037037037037037035,-4.644444444444445,-0
Pennsylvania,TIPP Insights,-0.4,Kamala Harris,49.2,1079,10/7/24,10/9/24,27,0.037037037037037035,-15.985185185185186,-0.1
Pennsylvania,TIPP Insights,-0.4,Donald Trump,45.3,1079,10/7/24,10/9/24,27,0.037037037037037035,-15.985185185185186,-0.1
Pennsylvania,TIPP Insights,-0.4,Kamala Harris,47.5,803,10/7/24,10/9/24,27,0.037037037037037035,-11.896296296296297,-0.1
Pennsylvania,TIPP Insights,-0.4,Donald Trump,48.9,803,10/7/24,10/9/24,27,0.037037037037037035,-11.896296296296297,-0.1
Pennsylvania,TIPP Insights,-0.4,Kamala Harris,48.5,1079,10/7/24,10/9/24,27,0.037037037037037035,-15.985185185185186,-0.1
Pennsylvania,TIPP Insights,-0.4,Donald Trump,44.9,1079,10/7/24,10/9/24,27,0.037037037037037035,-15.985185185185186,-0.1
Pennsylvania,TIPP Insights,-0.4,Cornel West,1.3,1079,10/7/24,10/9/24,27,0.037037037037037035,-15.985185185185186,-0.1
Pennsylvania,TIPP Insights,-0.4,Jill Stein,0.5,1079,10/7/24,10/9/24,27,0.037037037037037035,-15.985185185185186,-0.1
Pennsylvania,TIPP Insights,-0.4,Kamala Harris,48.3,803,10/7/24,10/9/24,27,0.037037037037037035,-11.896296296296297,-0.1
Pennsylvania,TIPP Insights,-0.4,Donald Trump,49,803,10/7/24,10/9/24,27,0.037037037037037035,-11.896296296296297,-0.1
Pennsylvania,TIPP Insights,-0.4,Cornel West,1.3,803,10/7/24,10/9/24,27,0.037037037037037035,-11.896296296296297,-0.1
Pennsylvania,TIPP Insights,-0.4,Jill Stein,0.2,803,10/7/24,10/9/24,27,0.037037037037037035,-11.896296296296297,-0.1
Arizona,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,46,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Arizona,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Donald Trump,49,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Georgia,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,45,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Georgia,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Donald Trump,50,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Michigan,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,48,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Michigan,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Donald Trump,49,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Nevada,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,47,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Nevada,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Donald Trump,50,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
North Carolina,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,47,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
North Carolina,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Donald Trump,48,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Pennsylvania,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,48,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Pennsylvania,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Donald Trump,49,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
Wisconsin,"Fabrizio, Lee & Associates/McLaughlin & Associates",0.3,Kamala Harris,48,800,10/6/24,10/9/24,27,0.037037037037037035,8.88888888888889,0.1
