state,pollster_rating_name,state_effect
Michigan,RMG Research,48.8
Michigan,Redfield & Wilton Strategies,43.4
Michigan,Remington Research Group,47
Michigan,Research Co.,49.5
Michigan,Spry Strategies,45.5
Michigan,Suffolk University,46.5
Michigan,Susquehanna Polling & Research Inc.,43
Michigan,TIPP Insights,45.3
Michigan,Target Insyght,41
Michigan,The New York Times/Siena College,44.8
Michigan,The Tyson Group,44
Michigan,Trafalgar Group,46.1
Michigan,University of Massachusetts Lowell Center for Public Opinion,45.5
Michigan,YouGov,45.5
Michigan,co/efficient,47
Minnesota,Beacon Research/Shaw & Co. Research,46.2
Minnesota,Big Data Poll,36.5
Minnesota,Change Research,45.1
Minnesota,Emerson College,42.8
Minnesota,John Zogby Strategies,36
Minnesota,Mason-Dixon Polling & Strategy,43.9
Minnesota,McLaughlin & Associates,44.5
Minnesota,Morning Consult,46.9
Minnesota,Public Opinion Strategies,40
Minnesota,Redfield & Wilton Strategies,45.6
Minnesota,SurveyUSA,43.4
Mississippi,Echelon Insights,54
Mississippi,John Zogby Strategies,50
Missouri,Change Research,45.5
Missouri,Emerson College,51.2
Missouri,GQR,49.5
Missouri,John Zogby Strategies,45
Missouri,Remington Research Group,52.2
Missouri,SurveyUSA,51.2
Missouri,YouGov,47.5
Montana,Change Research,51.3
Montana,Echelon Insights,49
Montana,Emerson College,49.3
Montana,"Fabrizio, Lee & Associates",54
Montana,J.L. Partners,51
Montana,John Zogby Strategies,50
Montana,Public Opinion Strategies,57
Montana,RMG Research,48.2
Montana,Remington Research Group,50.3
Montana,SurveyUSA,51
Montana,The New York Times/Siena College,47.8
Nebraska,Change Research,49.7
Nebraska,Emerson College,46.8
Nebraska,Global Strategy Group,44.3
Nebraska,Impact Research,48
Nebraska,John Zogby Strategies,46.6
Nebraska,Public Policy Polling,57
Nebraska,SurveyUSA,46.8
Nebraska CD-2,CNN,47.5
Nebraska CD-2,Change Research,44.5
Nebraska CD-2,Remington Research Group,46
Nebraska CD-2,SurveyUSA,44.5
Nebraska CD-2,The New York Times/Siena College,46.4
Nevada,AtlasIntel,49.1
Nevada,Beacon Research/Shaw & Co. Research,47.8
Nevada,Blueprint Polling,44.1
Nevada,CNN,46.7
Nevada,Echelon Insights,48.7
Nevada,Emerson College,46.1
Nevada,Fabrizio Lee & Associates/Impact Research,46
Nevada,"Fabrizio, Lee & Associates/McLaughlin & Associates",48.5
Nevada,InsiderAdvantage,47.3
Nevada,John Zogby Strategies,46.3
Nevada,McLaughlin & Associates,48
Nevada,Morning Consult,46.2
Nevada,Noble Predictive Insights,44.8
Nevada,OnMessage Inc.,46
Nevada,Patriot Polling,46.9
Nevada,Public Opinion Strategies,44.8
Nevada,RMG Research,49
Nevada,Rasmussen Reports,47
Nevada,Redfield & Wilton Strategies,44.8
Nevada,Remington Research Group,48
Nevada,Strategies 360,45
Nevada,Susquehanna Polling & Research Inc.,48
Nevada,TIPP Insights,47.3
Nevada,Tarrance Group,45.7
Nevada,The New York Times/Siena College,45.8
Nevada,The Tyson Group,42
Nevada,Trafalgar Group,45.4
New Hampshire,Emerson College,42.7
New Hampshire,John Zogby Strategies,39.9
New Hampshire,Marist College,43
New Hampshire,Praecones Analytica,39
New Hampshire,Saint Anselm College Survey Center,45.6
New Hampshire,Suffolk University,34.1
New Hampshire,Trafalgar Group,47.2
New Hampshire,University of Massachusetts Lowell Center for Public Opinion,42.5
New Hampshire,University of New Hampshire Survey Center,46.6
New Hampshire,co/efficient,39
New Jersey,Emerson College,37.6
New Jersey,John Zogby Strategies,39.8
New Jersey,co/efficient,41
New Mexico,1892 Polling,44.5
New Mexico,Emerson College,45
New Mexico,John Zogby Strategies,35.8
New Mexico,Public Opinion Strategies,38
New Mexico,Public Policy Polling,41
New Mexico,Redfield & Wilton Strategies,44.3
New Mexico,Research & Polling Inc.,44
New Mexico,SurveyUSA,46
New York,Emerson College,41.9
New York,John Zogby Strategies,38.9
New York,McLaughlin & Associates,40
New York,Siena College,38.3
New York,Slingshot Strategies,37
New York,SurveyUSA,33.3
North Carolina,ABC News/The Washington Post,48.8
North Carolina,AtlasIntel,49.2
North Carolina,Beacon Research/Shaw & Co. Research,48.4
North Carolina,Blueprint Polling,45
North Carolina,CNN,48
North Carolina,Change Research,44
North Carolina,Cygnal,45
North Carolina,East Carolina University Center for Survey Research,47.2
North Carolina,Echelon Insights,45
North Carolina,Elon University,45.5
North Carolina,Emerson College,48.3
North Carolina,Fabrizio Lee & Associates/Impact Research,47.8
North Carolina,"Fabrizio, Lee & Associates/McLaughlin & Associates",47.5
North Carolina,Global Strategy Group/GBAO (Navigator Research),46.5
North Carolina,High Point University Survey Research Center,45.6
North Carolina,InsiderAdvantage,49.1
North Carolina,John Zogby Strategies,44.6
North Carolina,Marist College,48.7
North Carolina,Mason-Dixon Polling & Strategy,49
North Carolina,Meeting Street Insights,40
North Carolina,"Meredith College Department of History, Political Science, and International Studies",44
North Carolina,Morning Consult,47.3
North Carolina,North Star Opinion Research,44
North Carolina,Patriot Polling,48.8
North Carolina,Public Policy Polling,46.5
North Carolina,Quinnipiac University,47.6
North Carolina,RMG Research,49
North Carolina,Redfield & Wilton Strategies,44.3
North Carolina,Spry Strategies,46.5
North Carolina,SurveyUSA,46.6
North Carolina,TIPP Insights,47.4
North Carolina,The New York Times/Siena College,46.4
North Carolina,Trafalgar Group,46.6
North Carolina,Victory Insights,46.7
North Carolina,YouGov,46
North Dakota,Emerson College,54
North Dakota,John Zogby Strategies,51.2
North Dakota,Lake Research Partners,45
North Dakota,Public Opinion Strategies,62
North Dakota,WPA Intelligence,45.5
Ohio,ABC News/The Washington Post,47.8
Ohio,Big Data Poll,43.3
Ohio,Change Research,45
Ohio,Data for Progress,51
Ohio,East Carolina University Center for Survey Research,48.1
Ohio,Echelon Insights,49
Ohio,Emerson College,49
Ohio,Fabrizio Lee & Associates/Impact Research,45.2
Ohio,John Zogby Strategies,47
Ohio,Marist College,48.8
Ohio,Morning Consult,47.9
Ohio,Ohio Northern University Institute for Civics and Public Policy,47.9
Ohio,RMG Research,48.5
Ohio,Remington Research Group,51
Ohio,Suffolk University,43.6
Ohio,SurveyUSA,47.5
Ohio,Targoz Market Research,56.5
Ohio,The New York Times/Siena College,46.4
Oklahoma,Cygnal,58.5
Oklahoma,Echelon Insights,63
Oklahoma,Emerson College,56.9
Oklahoma,John Zogby Strategies,46.4
Oklahoma,SoonerPoll.com,49.5
Oregon,Emerson College,37.9
Oregon,Hoffman Research Group,44.5
Oregon,John Zogby Strategies,38.6
Pennsylvania,ABC News/The Washington Post,47.8
Pennsylvania,AtlasIntel,49.4
Pennsylvania,Beacon Research/Shaw & Co. Research,47.1
Pennsylvania,Big Data Poll,43.3
Pennsylvania,Blueprint Polling,40.3
Pennsylvania,CNN,45
Pennsylvania,Civiqs,45.3
Pennsylvania,Cygnal,45.5
Pennsylvania,Echelon Insights,45.2
Pennsylvania,Emerson College,47.5
Pennsylvania,Fabrizio Lee & Associates/Impact Research,48
Pennsylvania,"Fabrizio, Lee & Associates",46.2
Pennsylvania,"Fabrizio, Lee & Associates/McLaughlin & Associates",48.5
Pennsylvania,Franklin & Marshall College Center for Opinion Research,41.6
Pennsylvania,GQR,48
Pennsylvania,Global Strategy Group/GBAO (Navigator Research),46
Pennsylvania,InsiderAdvantage,47
Pennsylvania,J.L. Partners,47
Pennsylvania,John Zogby Strategies,41.1
Pennsylvania,KAConsulting,42.5
Pennsylvania,Kaplan Strategies,46
Pennsylvania,Marist College,48.4
Pennsylvania,MassINC Polling Group,48.8
Pennsylvania,Morning Consult,46.9
Pennsylvania,Muhlenberg College Institute of Public Opinion,42.2
Pennsylvania,North Star Opinion Research,45.5
Pennsylvania,OnMessage Inc.,46.5
Pennsylvania,Patriot Polling,49
Pennsylvania,Public Opinion Strategies,45.6
Pennsylvania,Public Policy Polling,47.2
Pennsylvania,Quinnipiac University,47.1
Pennsylvania,RMG Research,49
Pennsylvania,Redfield & Wilton Strategies,45
Pennsylvania,Remington Research Group,47.7
Pennsylvania,Research Co.,49.5
Pennsylvania,Spry Strategies,46.7
Pennsylvania,Suffolk University,47.1
Pennsylvania,Susquehanna Polling & Research Inc.,44
Pennsylvania,TIPP Insights,47.7
Pennsylvania,Targoz Market Research,50
Pennsylvania,The New York Times/Siena College,45.7
Pennsylvania,Trafalgar Group,45.8
Pennsylvania,University of Massachusetts Lowell Center for Public Opinion,46.2
Pennsylvania,Wick,48.2
Pennsylvania,YouGov,45.7
Pennsylvania,co/efficient,47
Rhode Island,Change Research,41
Rhode Island,Echelon Insights,37
Rhode Island,Fleming & Associates,32
Rhode Island,John Zogby Strategies,39.3
Rhode Island,MassINC Polling Group,48
Rhode Island,University of New Hampshire Survey Center,42.2
South Carolina,Blueprint Polling,46
South Carolina,Echelon Insights,51
South Carolina,Emerson College,50.6
South Carolina,John Zogby Strategies,47
South Carolina,Winthrop University Center for Public Opinion & Policy Research,47.9
South Dakota,Emerson College,52.9
South Dakota,John Zogby Strategies,50.6
South Dakota,Mason-Dixon Polling & Strategy,50
Tennessee,Emerson College,55.3
Tennessee,John Zogby Strategies,52.3
Tennessee,SSRS,44.7
Tennessee,Siena College,49
Tennessee,Targoz Market Research,52.3
Texas,Blueprint Polling,44
Texas,CWS Research,45.7
Texas,Cygnal,48.2
Texas,Echelon Insights,48
Texas,Emerson College,48.6
Texas,John Zogby Strategies,44.6
Texas,Lake Research Partners,47
Texas,Marist College,50
Texas,Morning Consult,47.8
Texas,Public Policy Polling,46.2
Texas,RMG Research,49.5
Texas,Redfield & Wilton Strategies,44
Texas,Remington Research Group,49
Texas,The New York Times/Siena College,46
Texas,University of Houston Hobby School of Public Affairs,47.5
Texas,University of Texas at Tyler Center for Opinion Research,45.7
Texas,YouGov,45.6
Utah,Dan Jones & Associates,43
Utah,Emerson College,47
Utah,Harris Insights & Analytics,45
Utah,John Zogby Strategies,39.7
Utah,Noble Predictive Insights,46.2
Utah,Public Policy Polling,46.5
Vermont,John Zogby Strategies,29.1
Vermont,University of New Hampshire Survey Center,48.2
Virginia,Beacon Research/Shaw & Co. Research,44.5
Virginia,Change Research,39.3
Virginia,Christopher Newport University Wason Center for Civic Leadership,46.5
Virginia,Emerson College,47.2
Virginia,Fabrizio Lee & Associates/Impact Research,42
Virginia,John Zogby Strategies,40.7
Virginia,Mason-Dixon Polling & Strategy,39.5
Virginia,McLaughlin & Associates,40.7
Virginia,Morning Consult,47.4
Virginia,Public Opinion Strategies,41
Virginia,Repass,44.7
Virginia,Roanoke College Institute for Policy and Opinion Research,43
Virginia,The New York Times/Siena College,42.4
Virginia,The Washington Post/George Mason University Schar School of Policy and Government,46.4
Virginia,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,40.7
Virginia,co/efficient,41
Washington,DHM Research,39.3
Washington,Echelon Insights,37
Washington,Elway Research,37.4
Washington,Emerson College,38.7
Washington,John Zogby Strategies,30.7
Washington,McLaughlin & Associates,40.6
Washington,Public Policy Polling,40.2
Washington,SurveyUSA,43
West Virginia,Emerson College,59.3
West Virginia,John Zogby Strategies,58.2
West Virginia,Kaplan Strategies,55
West Virginia,Repass,47.5
Wisconsin,AtlasIntel,48.9
Wisconsin,BK Strategies,46.5
Wisconsin,Beacon Research/Shaw & Co. Research,46.8
Wisconsin,Big Data Poll,39.1
Wisconsin,CNN,47
Wisconsin,Civiqs,47.7
Wisconsin,Echelon Insights,45.3
Wisconsin,Emerson College,46.7
Wisconsin,Fabrizio Lee & Associates/Impact Research,47.3
Wisconsin,"Fabrizio, Lee & Associates",47
Wisconsin,"Fabrizio, Lee & Associates/McLaughlin & Associates",48.5
Wisconsin,Global Strategy Group/GBAO (Navigator Research),46.5
Wisconsin,InsiderAdvantage,48.1
Wisconsin,J.L. Partners,39
Wisconsin,John Zogby Strategies,41.4
Wisconsin,KAConsulting,43.5
Wisconsin,Kaplan Strategies,44.5
Wisconsin,Marist College,49
Wisconsin,Marquette University Law School,46.8
Wisconsin,MassINC Polling Group,48.8
Wisconsin,Morning Consult,46.2
Wisconsin,North Star Opinion Research,43.5
Wisconsin,OnMessage Inc.,46.5
Wisconsin,Patriot Polling,48.6
Wisconsin,Public Opinion Strategies,46
Wisconsin,Public Policy Polling,46.5
Wisconsin,Quinnipiac University,46.5
Wisconsin,RMG Research,48.5
Wisconsin,Redfield & Wilton Strategies,45.7
Wisconsin,Remington Research Group,48.3
Wisconsin,Research Co.,49
Wisconsin,Spry Strategies,45.5
Wisconsin,TIPP Insights,45.8
Wisconsin,The New York Times/Siena College,45.4
Wisconsin,The Tyson Group,44.5
Wisconsin,Trafalgar Group,46.4
Wisconsin,YouGov,46.6
Wisconsin,co/efficient,47
Wyoming,Emerson College,67.6
Wyoming,John Zogby Strategies,52.6
