state,voter_id,age,gender,candidate_preference,pollster_rating_name,pollscore,sample_size,days_to_election
Alabama,84,58,Male,Harris,RMG Research,-0.4,843,22
Alabama,85,89,Male,Trump,RMG Research,-0.4,911,19
Alabama,86,40,Other,Harris,RMG Research,-0.3,579,17
Alabama,87,96,Female,Harris,RMG Research,-0.3,848,19
Alabama,88,48,Other,Trump,InsiderAdvantage,-0.4,526,21
Alabama,89,57,Male,Trump,RMG Research,-0.4,831,21
Alabama,90,65,Male,Trump,RMG Research,-0.4,804,25
Alabama,91,20,Female,Trump,RMG Research,-0.4,749,12
Alabama,92,55,Female,Harris,InsiderAdvantage,-0.3,945,10
Alabama,93,44,Female,Harris,InsiderAdvantage,-0.4,634,3
Alabama,94,39,Female,Trump,RMG Research,-0.4,826,23
Alabama,95,63,Male,Trump,RMG Research,-0.3,615,29
Alabama,96,81,Female,Trump,RMG Research,-0.3,928,2
Alabama,97,54,Female,Harris,InsiderAdvantage,-0.3,746,16
Alabama,98,34,Female,Trump,InsiderAdvantage,-0.4,757,18
Alabama,99,35,Male,Harris,InsiderAdvantage,-0.3,756,6
Alabama,100,78,Male,Harris,RMG Research,-0.3,670,28
Alabama,101,94,Male,Harris,RMG Research,-0.4,753,14
Alabama,102,60,Male,Trump,RMG Research,-0.3,695,17
Alabama,103,33,Female,Trump,RMG Research,-0.3,975,12
Alabama,104,84,Other,Trump,RMG Research,-0.3,529,5
Alabama,105,62,Male,Trump,InsiderAdvantage,-0.4,952,10
Alabama,106,43,Female,Trump,InsiderAdvantage,-0.4,887,18
Alabama,107,98,Female,Harris,InsiderAdvantage,-0.4,958,10
Alabama,108,51,Male,Trump,InsiderAdvantage,-0.4,601,25
Alabama,109,92,Female,Trump,InsiderAdvantage,-0.3,722,10
Alabama,110,80,Female,Harris,RMG Research,-0.4,506,25
Alabama,111,48,Male,Trump,InsiderAdvantage,-0.4,996,4
Alabama,112,28,Female,Trump,InsiderAdvantage,-0.3,509,20
Alabama,113,93,Female,Trump,RMG Research,-0.4,911,23
Alabama,114,58,Female,Trump,RMG Research,-0.4,614,29
Alabama,115,71,Female,Harris,RMG Research,-0.4,840,21
Alabama,116,74,Female,Harris,InsiderAdvantage,-0.3,720,30
Alabama,117,54,Male,Trump,RMG Research,-0.3,958,6
Alabama,118,19,Female,Trump,InsiderAdvantage,-0.3,922,3
Alabama,119,38,Male,Trump,RMG Research,-0.3,860,10
Alabama,120,18,Male,Trump,InsiderAdvantage,-0.4,607,28
Alabama,121,50,Male,Harris,RMG Research,-0.3,699,8
Alabama,122,88,Female,Trump,RMG Research,-0.4,857,18
Alabama,123,36,Female,Harris,InsiderAdvantage,-0.3,657,1
Alabama,124,94,Female,Trump,InsiderAdvantage,-0.3,573,28
Alabama,125,58,Male,Harris,InsiderAdvantage,-0.4,699,7
Alabama,126,37,Female,Trump,InsiderAdvantage,-0.4,990,20
Alabama,127,45,Male,Trump,InsiderAdvantage,-0.4,621,5
Alabama,128,73,Male,Trump,InsiderAdvantage,-0.3,654,5
Alabama,129,61,Male,Trump,InsiderAdvantage,-0.3,933,7
Alabama,130,65,Female,Trump,InsiderAdvantage,-0.4,516,23
Alabama,131,74,Male,Harris,InsiderAdvantage,-0.4,797,6
Alabama,132,85,Female,Harris,RMG Research,-0.3,625,24
Alabama,133,84,Male,Trump,RMG Research,-0.4,772,6
Alabama,134,60,Male,Trump,RMG Research,-0.4,710,8
Alabama,135,49,Male,Trump,InsiderAdvantage,-0.3,743,19
Alabama,136,63,Female,Trump,InsiderAdvantage,-0.4,518,12
Alabama,137,32,Male,Harris,InsiderAdvantage,-0.3,882,19
Alabama,138,51,Female,Harris,RMG Research,-0.4,781,14
Alabama,139,86,Male,Trump,InsiderAdvantage,-0.4,831,2
Alabama,140,34,Male,Trump,InsiderAdvantage,-0.4,585,25
Alabama,141,26,Male,Harris,InsiderAdvantage,-0.4,942,3
Alabama,142,19,Female,Harris,RMG Research,-0.3,912,16
Alabama,143,26,Female,Harris,InsiderAdvantage,-0.4,949,13
Alabama,144,86,Male,Harris,InsiderAdvantage,-0.3,521,22
Alabama,145,47,Female,Harris,RMG Research,-0.4,915,15
Alabama,146,53,Male,Harris,InsiderAdvantage,-0.4,558,8
Alabama,147,31,Male,Harris,RMG Research,-0.4,979,11
Alabama,148,70,Female,Trump,RMG Research,-0.3,574,13
Alabama,149,84,Female,Harris,RMG Research,-0.4,624,28
Alabama,150,32,Male,Harris,RMG Research,-0.4,908,18
Alabama,151,45,Male,Harris,InsiderAdvantage,-0.4,1000,5
Alabama,152,77,Female,Trump,RMG Research,-0.3,907,23
Alabama,153,62,Other,Harris,RMG Research,-0.4,510,26
Alabama,154,26,Female,Harris,InsiderAdvantage,-0.4,797,20
Alabama,155,22,Male,Harris,RMG Research,-0.4,632,9
Alabama,156,38,Female,Harris,RMG Research,-0.3,548,18
Alabama,157,26,Male,Trump,InsiderAdvantage,-0.4,910,26
Alabama,158,60,Female,Harris,RMG Research,-0.3,607,28
Alabama,159,41,Male,Trump,InsiderAdvantage,-0.4,913,25
Alabama,160,42,Female,Harris,InsiderAdvantage,-0.4,802,27
Alabama,161,39,Male,Harris,InsiderAdvantage,-0.4,858,11
Alabama,162,33,Female,Trump,RMG Research,-0.4,517,17
Alabama,163,42,Female,Trump,InsiderAdvantage,-0.4,713,25
Alabama,164,64,Male,Trump,RMG Research,-0.4,652,22
Alabama,165,83,Male,Trump,InsiderAdvantage,-0.4,939,9
Alabama,166,100,Male,Harris,InsiderAdvantage,-0.4,753,12
Alabama,167,60,Female,Harris,InsiderAdvantage,-0.4,566,23
Alabama,168,81,Female,Harris,InsiderAdvantage,-0.4,620,8
Alabama,169,56,Female,Trump,InsiderAdvantage,-0.4,689,4
Alabama,170,51,Male,Harris,InsiderAdvantage,-0.3,575,30
Alabama,171,60,Female,Trump,RMG Research,-0.3,596,25
Alabama,172,42,Female,Harris,RMG Research,-0.4,950,9
Alabama,173,68,Male,Trump,RMG Research,-0.4,840,19
Alabama,174,72,Female,Trump,RMG Research,-0.4,848,9
Alabama,175,96,Female,Trump,InsiderAdvantage,-0.4,918,14
Alabama,176,77,Male,Trump,InsiderAdvantage,-0.3,943,27
Alabama,177,58,Male,Harris,InsiderAdvantage,-0.4,799,26
Alabama,178,38,Female,Harris,InsiderAdvantage,-0.3,917,1
Alabama,179,94,Male,Harris,InsiderAdvantage,-0.3,805,30
Alabama,180,53,Male,Trump,RMG Research,-0.3,785,7
Alabama,181,69,Male,Harris,InsiderAdvantage,-0.3,881,15
Alabama,182,69,Male,Harris,RMG Research,-0.4,791,10
Alabama,183,96,Male,Harris,InsiderAdvantage,-0.3,555,3
Alabama,184,21,Female,Harris,InsiderAdvantage,-0.3,732,1
Alabama,185,28,Other,Trump,RMG Research,-0.4,919,14
Alabama,186,61,Male,Harris,InsiderAdvantage,-0.3,692,14
Alabama,187,41,Female,Harris,RMG Research,-0.3,967,20
Alabama,188,51,Female,Trump,InsiderAdvantage,-0.4,953,8
Alabama,189,52,Male,Trump,RMG Research,-0.3,942,4
Alabama,190,67,Female,Trump,RMG Research,-0.4,957,26
Alabama,191,85,Female,Trump,RMG Research,-0.4,833,29
Alabama,192,66,Female,Harris,InsiderAdvantage,-0.3,585,22
Alabama,193,64,Male,Trump,RMG Research,-0.4,605,6
Alabama,194,47,Male,Harris,RMG Research,-0.3,864,13
Alabama,195,83,Male,Harris,RMG Research,-0.3,778,15
Alabama,196,93,Male,Harris,InsiderAdvantage,-0.3,923,4
Alabama,197,62,Male,Harris,InsiderAdvantage,-0.3,500,16
Alabama,198,41,Male,Trump,RMG Research,-0.4,968,30
Alabama,199,36,Female,Harris,RMG Research,-0.4,634,27
Alabama,200,75,Male,Harris,InsiderAdvantage,-0.3,997,27
Alabama,201,80,Female,Harris,InsiderAdvantage,-0.4,885,30
Alabama,202,94,Male,Trump,RMG Research,-0.4,979,22
Alabama,203,77,Female,Harris,InsiderAdvantage,-0.3,827,24
Alabama,204,36,Male,Trump,RMG Research,-0.3,887,16
Alabama,205,85,Female,Trump,InsiderAdvantage,-0.3,623,25
Alabama,206,37,Female,Harris,RMG Research,-0.3,883,3
Alabama,207,59,Male,Trump,InsiderAdvantage,-0.3,526,29
Alabama,208,24,Female,Harris,RMG Research,-0.3,857,5
Alabama,209,59,Male,Trump,RMG Research,-0.3,644,24
Alabama,210,73,Male,Trump,RMG Research,-0.4,986,29
Alabama,211,39,Female,Harris,InsiderAdvantage,-0.3,631,2
Alabama,212,70,Female,Trump,RMG Research,-0.3,965,15
Alabama,213,44,Male,Trump,InsiderAdvantage,-0.3,596,11
Alabama,214,53,Male,Trump,InsiderAdvantage,-0.3,631,20
Alabama,215,96,Female,Trump,RMG Research,-0.3,853,9
Alabama,216,58,Female,Trump,InsiderAdvantage,-0.3,715,22
Alabama,217,38,Male,Trump,InsiderAdvantage,-0.3,831,13
Alabama,218,52,Male,Trump,InsiderAdvantage,-0.3,890,25
Alabama,219,86,Male,Harris,InsiderAdvantage,-0.3,816,15
Alabama,220,54,Male,Harris,RMG Research,-0.4,934,30
Alabama,221,23,Male,Harris,RMG Research,-0.3,652,14
Alabama,222,18,Female,Harris,RMG Research,-0.3,776,9
Alabama,223,35,Male,Harris,RMG Research,-0.3,851,22
Alabama,224,21,Female,Harris,RMG Research,-0.4,711,16
Alabama,225,72,Male,Harris,RMG Research,-0.4,649,5
Alabama,226,34,Female,Harris,InsiderAdvantage,-0.3,676,16
Alabama,227,78,Female,Harris,RMG Research,-0.3,656,25
Alabama,228,39,Female,Trump,InsiderAdvantage,-0.4,650,3
Alabama,229,64,Male,Harris,RMG Research,-0.4,961,28
Alabama,230,48,Male,Trump,InsiderAdvantage,-0.3,862,5
Alabama,231,98,Female,Harris,InsiderAdvantage,-0.3,965,26
Alabama,232,72,Female,Harris,InsiderAdvantage,-0.3,664,18
Alabama,233,94,Female,Harris,RMG Research,-0.4,587,22
Alabama,234,83,Other,Harris,InsiderAdvantage,-0.3,537,25
Alabama,235,94,Female,Harris,InsiderAdvantage,-0.3,531,26
Alabama,236,98,Female,Trump,RMG Research,-0.4,557,28
Alabama,237,81,Male,Trump,RMG Research,-0.4,604,4
Alabama,238,49,Female,Harris,RMG Research,-0.4,981,29
Alabama,239,96,Female,Trump,InsiderAdvantage,-0.4,632,14
Alabama,240,27,Male,Trump,RMG Research,-0.4,509,5
Alabama,241,69,Other,Trump,InsiderAdvantage,-0.4,753,1
Alabama,242,46,Female,Trump,RMG Research,-0.4,835,13
Alabama,243,25,Male,Trump,RMG Research,-0.3,888,21
Alabama,244,66,Male,Trump,RMG Research,-0.4,824,6
Alabama,245,39,Female,Harris,RMG Research,-0.3,906,9
Alabama,246,94,Female,Harris,RMG Research,-0.4,795,15
Alabama,247,44,Female,Harris,RMG Research,-0.3,859,6
Alabama,248,78,Male,Harris,InsiderAdvantage,-0.3,500,28
Alabama,249,80,Female,Harris,InsiderAdvantage,-0.4,873,24
Alabama,250,27,Male,Trump,InsiderAdvantage,-0.4,514,2
Alabama,251,83,Female,Harris,RMG Research,-0.4,998,29
Alabama,252,92,Male,Trump,InsiderAdvantage,-0.4,826,30
Alabama,253,86,Male,Harris,RMG Research,-0.4,912,2
Alabama,254,81,Male,Trump,RMG Research,-0.3,623,2
Alabama,255,66,Other,Harris,RMG Research,-0.4,839,8
Alabama,256,94,Male,Trump,RMG Research,-0.3,560,9
Alabama,257,87,Female,Harris,RMG Research,-0.4,791,25
Alabama,258,64,Female,Harris,InsiderAdvantage,-0.4,799,2
Alabama,259,45,Female,Harris,RMG Research,-0.3,559,26
Alabama,260,37,Male,Trump,InsiderAdvantage,-0.3,999,16
Alabama,261,71,Female,Harris,RMG Research,-0.4,987,1
Alabama,262,60,Male,Harris,RMG Research,-0.4,623,13
Alabama,263,42,Male,Harris,RMG Research,-0.3,715,2
Alabama,264,99,Female,Harris,RMG Research,-0.3,529,23
Alabama,265,76,Male,Trump,InsiderAdvantage,-0.4,977,11
Alabama,266,74,Male,Trump,InsiderAdvantage,-0.4,973,9
Alabama,267,42,Female,Trump,RMG Research,-0.4,587,27
Alabama,268,50,Male,Harris,RMG Research,-0.4,619,26
Alabama,269,93,Male,Trump,InsiderAdvantage,-0.4,851,9
Alabama,270,63,Female,Harris,InsiderAdvantage,-0.3,513,24
Alabama,271,57,Female,Trump,RMG Research,-0.3,959,14
Alabama,272,73,Male,Harris,RMG Research,-0.4,680,1
Alabama,273,51,Female,Harris,InsiderAdvantage,-0.3,743,19
Alabama,274,23,Male,Harris,RMG Research,-0.4,803,12
Alabama,275,88,Female,Trump,RMG Research,-0.4,841,29
Alabama,276,67,Male,Trump,RMG Research,-0.4,914,11
Alabama,277,86,Female,Trump,RMG Research,-0.3,530,23
Alabama,278,45,Male,Harris,RMG Research,-0.3,873,3
Alabama,279,100,Female,Trump,RMG Research,-0.4,752,19
Alabama,280,30,Female,Harris,RMG Research,-0.3,648,14
Alabama,281,34,Male,Trump,InsiderAdvantage,-0.3,939,20
Alabama,282,50,Male,Harris,RMG Research,-0.3,598,7
Alabama,283,53,Female,Trump,RMG Research,-0.4,512,6
Alabama,284,55,Female,Trump,InsiderAdvantage,-0.4,859,17
Alabama,285,60,Female,Harris,InsiderAdvantage,-0.4,839,15
Alabama,286,69,Female,Trump,InsiderAdvantage,-0.4,911,12
Alabama,287,78,Female,Trump,RMG Research,-0.3,558,8
Alabama,288,99,Male,Trump,RMG Research,-0.4,953,13
Alabama,289,91,Male,Trump,InsiderAdvantage,-0.4,905,16
Alabama,290,34,Male,Harris,InsiderAdvantage,-0.3,551,24
Alabama,291,36,Male,Harris,InsiderAdvantage,-0.4,675,8
Alabama,292,35,Female,Trump,InsiderAdvantage,-0.3,743,22
Alabama,293,67,Male,Trump,RMG Research,-0.4,704,15
Alabama,294,60,Female,Trump,InsiderAdvantage,-0.4,612,29
Alabama,295,83,Male,Trump,InsiderAdvantage,-0.4,847,3
Alabama,296,62,Female,Trump,RMG Research,-0.4,821,1
Alabama,297,83,Female,Trump,RMG Research,-0.3,602,19
Alabama,298,86,Female,Trump,InsiderAdvantage,-0.4,675,18
Alabama,299,69,Male,Trump,RMG Research,-0.3,935,4
Alabama,300,95,Female,Trump,InsiderAdvantage,-0.4,926,1
Alabama,301,21,Male,Harris,RMG Research,-0.3,606,21
Alabama,302,51,Female,Harris,InsiderAdvantage,-0.3,939,29
Alabama,303,82,Male,Harris,RMG Research,-0.4,776,28
Alabama,304,40,Male,Harris,RMG Research,-0.3,625,9
Alabama,305,51,Male,Harris,RMG Research,-0.4,726,23
Alabama,306,50,Female,Trump,InsiderAdvantage,-0.4,679,6
Alabama,307,97,Female,Harris,RMG Research,-0.4,565,30
Alabama,308,33,Male,Trump,RMG Research,-0.4,639,2
Alabama,309,23,Other,Trump,InsiderAdvantage,-0.3,835,21
Alabama,310,66,Female,Trump,RMG Research,-0.4,629,3
Alabama,311,76,Male,Trump,InsiderAdvantage,-0.3,914,23
Alabama,312,97,Female,Trump,InsiderAdvantage,-0.4,943,28
Alabama,313,65,Other,Harris,InsiderAdvantage,-0.4,746,3
Alabama,314,54,Female,Trump,InsiderAdvantage,-0.4,552,16
Alabama,315,69,Male,Harris,InsiderAdvantage,-0.3,555,7
Alabama,316,46,Male,Harris,InsiderAdvantage,-0.3,710,24
Alabama,317,56,Female,Trump,RMG Research,-0.3,760,30
Alabama,318,89,Male,Harris,InsiderAdvantage,-0.3,654,18
Alabama,319,43,Male,Trump,InsiderAdvantage,-0.3,508,2
Alabama,320,47,Male,Harris,InsiderAdvantage,-0.4,918,7
Alabama,321,69,Male,Harris,RMG Research,-0.3,600,22
Alabama,322,98,Female,Harris,InsiderAdvantage,-0.3,759,22
Alabama,323,31,Female,Harris,InsiderAdvantage,-0.3,815,21
Alabama,324,28,Female,Trump,InsiderAdvantage,-0.4,503,20
Alabama,325,71,Female,Harris,RMG Research,-0.3,668,4
Alabama,326,58,Male,Harris,InsiderAdvantage,-0.3,781,16
Alabama,327,100,Female,Trump,RMG Research,-0.4,574,4
Alabama,328,74,Male,Harris,RMG Research,-0.4,654,1
Alabama,329,69,Male,Trump,RMG Research,-0.3,650,20
Alabama,330,45,Male,Harris,RMG Research,-0.3,797,29
Alabama,331,65,Female,Harris,InsiderAdvantage,-0.4,980,13
Alabama,332,49,Male,Harris,InsiderAdvantage,-0.4,854,8
Alabama,333,29,Female,Trump,InsiderAdvantage,-0.3,700,19
Alabama,334,32,Female,Trump,InsiderAdvantage,-0.4,668,15
Alabama,335,88,Other,Trump,RMG Research,-0.3,827,11
Alabama,336,47,Female,Trump,InsiderAdvantage,-0.3,835,26
Alabama,337,65,Male,Harris,RMG Research,-0.3,763,28
Alabama,338,65,Female,Trump,RMG Research,-0.4,847,6
Alabama,339,92,Female,Harris,InsiderAdvantage,-0.4,605,14
Alabama,340,64,Female,Trump,RMG Research,-0.4,968,26
Alabama,341,55,Male,Harris,RMG Research,-0.3,767,16
Alabama,342,53,Female,Harris,RMG Research,-0.4,864,8
Alabama,343,66,Male,Harris,InsiderAdvantage,-0.3,758,1
Alabama,344,90,Female,Trump,RMG Research,-0.3,708,15
Alabama,345,87,Female,Trump,InsiderAdvantage,-0.4,531,16
Alabama,346,91,Male,Harris,RMG Research,-0.4,556,22
Alabama,347,97,Male,Trump,RMG Research,-0.4,869,26
Alabama,348,64,Male,Harris,InsiderAdvantage,-0.3,627,11
Alabama,349,50,Female,Harris,RMG Research,-0.4,956,19
Alabama,350,30,Female,Trump,InsiderAdvantage,-0.3,878,27
Alabama,351,82,Male,Trump,RMG Research,-0.4,613,27
Alabama,352,55,Female,Trump,InsiderAdvantage,-0.3,826,14
Alabama,353,19,Male,Harris,InsiderAdvantage,-0.4,734,2
Alabama,354,90,Female,Harris,InsiderAdvantage,-0.4,651,22
Alabama,355,68,Female,Harris,InsiderAdvantage,-0.3,538,10
Alabama,356,100,Male,Trump,RMG Research,-0.4,946,4
Alabama,357,71,Other,Harris,InsiderAdvantage,-0.3,646,21
Alabama,358,94,Female,Harris,RMG Research,-0.3,530,3
Alabama,359,100,Female,Trump,InsiderAdvantage,-0.3,590,6
Alabama,360,33,Male,Harris,RMG Research,-0.3,649,4
Alabama,361,26,Male,Trump,RMG Research,-0.3,867,1
Alabama,362,48,Other,Trump,InsiderAdvantage,-0.4,644,9
Alabama,363,34,Male,Trump,RMG Research,-0.3,655,14
Alabama,364,69,Male,Trump,InsiderAdvantage,-0.3,695,12
Alabama,365,56,Male,Harris,RMG Research,-0.4,973,12
Alabama,366,76,Male,Trump,RMG Research,-0.3,791,12
Alabama,367,34,Female,Harris,InsiderAdvantage,-0.4,738,28
Alabama,368,90,Male,Trump,InsiderAdvantage,-0.3,571,6
Alabama,369,29,Female,Harris,InsiderAdvantage,-0.3,789,26
Alabama,370,36,Female,Trump,RMG Research,-0.4,590,7
Alabama,371,98,Male,Trump,RMG Research,-0.3,545,8
Alabama,372,79,Male,Trump,RMG Research,-0.4,860,28
Alabama,373,50,Male,Harris,RMG Research,-0.4,878,6
Alabama,374,41,Other,Trump,InsiderAdvantage,-0.4,888,17
Alabama,375,46,Female,Harris,RMG Research,-0.4,710,17
Alabama,376,87,Female,Harris,RMG Research,-0.3,620,18
Alabama,377,69,Female,Harris,InsiderAdvantage,-0.3,718,27
Alabama,378,59,Male,Trump,RMG Research,-0.3,825,19
Alabama,379,24,Female,Harris,InsiderAdvantage,-0.3,714,5
Alabama,380,83,Other,Trump,RMG Research,-0.3,718,10
Alabama,381,72,Male,Trump,RMG Research,-0.4,719,29
Alabama,382,41,Male,Trump,InsiderAdvantage,-0.4,897,14
Alabama,383,28,Female,Trump,RMG Research,-0.3,963,15
Alabama,384,71,Female,Trump,RMG Research,-0.4,923,18
Alabama,385,23,Male,Trump,InsiderAdvantage,-0.3,973,3
Alabama,386,66,Male,Harris,RMG Research,-0.4,616,25
Alabama,387,68,Female,Trump,InsiderAdvantage,-0.4,860,2
Alabama,388,24,Female,Trump,InsiderAdvantage,-0.3,857,22
Alabama,389,48,Male,Trump,RMG Research,-0.3,646,28
Alabama,390,50,Male,Trump,RMG Research,-0.4,640,6
Alabama,391,78,Male,Harris,InsiderAdvantage,-0.4,837,19
Alabama,392,68,Female,Harris,RMG Research,-0.4,767,15
Alabama,393,23,Male,Trump,RMG Research,-0.4,505,1
Alabama,394,53,Female,Trump,InsiderAdvantage,-0.4,531,6
Alabama,395,60,Female,Trump,RMG Research,-0.3,800,1
Alabama,396,77,Male,Trump,RMG Research,-0.3,799,25
Alabama,397,48,Female,Harris,InsiderAdvantage,-0.3,860,21
Alabama,398,38,Male,Trump,InsiderAdvantage,-0.3,848,4
Alabama,399,76,Female,Trump,RMG Research,-0.3,747,11
Alabama,400,75,Female,Trump,RMG Research,-0.3,963,7
Alabama,401,39,Female,Trump,RMG Research,-0.3,510,19
Alabama,402,88,Male,Trump,RMG Research,-0.4,710,17
Alabama,403,43,Female,Harris,RMG Research,-0.4,538,9
Alabama,404,68,Female,Trump,InsiderAdvantage,-0.4,699,4
Alabama,405,94,Female,Harris,RMG Research,-0.4,917,15
Alabama,406,81,Male,Trump,InsiderAdvantage,-0.4,914,2
Alabama,407,52,Male,Harris,InsiderAdvantage,-0.3,983,7
Alabama,408,49,Female,Trump,InsiderAdvantage,-0.3,929,30
Alabama,409,40,Female,Harris,InsiderAdvantage,-0.4,782,15
Alabama,410,88,Female,Trump,RMG Research,-0.4,739,13
Alabama,411,35,Female,Harris,InsiderAdvantage,-0.3,749,9
Alabama,412,56,Female,Trump,InsiderAdvantage,-0.3,975,17
Alabama,413,47,Male,Trump,RMG Research,-0.4,873,25
Alabama,414,27,Female,Harris,InsiderAdvantage,-0.4,508,17
Alabama,415,26,Male,Harris,RMG Research,-0.4,559,19
Alabama,416,56,Female,Trump,InsiderAdvantage,-0.4,858,16
Alabama,417,58,Female,Trump,InsiderAdvantage,-0.3,578,27
Alabama,418,99,Female,Trump,InsiderAdvantage,-0.4,848,11
Alabama,419,92,Other,Trump,RMG Research,-0.3,689,16
Alabama,420,60,Male,Harris,RMG Research,-0.4,793,20
Alabama,421,31,Female,Harris,RMG Research,-0.3,603,20
Alabama,422,53,Male,Trump,RMG Research,-0.4,907,28
